{'max_epoch': 10, 'train_batch_size': 2, 'last_iter': 0, 'finetune_lr': 5e-05, 'scratch_lr': 0.0005, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416, 'multi-scale': None, 'gpu': '0,1', 'multi-GPUs': False, 'fp16': False, 'warm_up_epochs': 3, 'seed': 2020}

iter: 122, bce1: 0.7294455, bce2: 0.7155135, bce3: 0.7174625, hinge1: 2.0191625, hinge2: 1.9757335, hinge3: 2.1274435, cla: 2.1223215, lr: 0.0000008
iter: 123, bce1: 0.7291305, bce2: 0.7156765, bce3: 0.7171135, hinge1: 2.0191105, hinge2: 1.9766215, hinge3: 2.1247535, cla: 2.1292085, lr: 0.0000008
iter: 124, bce1: 0.7289925, bce2: 0.7155285, bce3: 0.7171015, hinge1: 2.0230405, hinge2: 1.9784025, hinge3: 2.1242345, cla: 2.1247245, lr: 0.0000008
iter: 125, bce1: 0.7298965, bce2: 0.7167605, bce3: 0.7170125, hinge1: 2.0196725, hinge2: 1.9752245, hinge3: 2.1341095, cla: 2.1180625, lr: 0.0000008
iter: 126, bce1: 0.7300785, bce2: 0.7168055, bce3: 0.7163795, hinge1: 2.0194095, hinge2: 1.9742625, hinge3: 2.1299555, cla: 2.1180845, lr: 0.0000008
iter: 127, bce1: 0.7298355, bce2: 0.7173065, bce3: 0.7163675, hinge1: 2.0184355, hinge2: 1.9756285, hinge3: 2.1304585, cla: 2.1186085, lr: 0.0000008
iter: 128, bce1: 0.7304395, bce2: 0.7178885, bce3: 0.7171975, hinge1: 2.0147435, hinge2: 1.9732315, hinge3: 2.1279435, cla: 2.1170565, lr: 0.0000008
iter: 129, bce1: 0.7306265, bce2: 0.7180775, bce3: 0.7173255, hinge1: 2.0127215, hinge2: 1.9700965, hinge3: 2.1265175, cla: 2.1184825, lr: 0.0000008
iter: 130, bce1: 0.7307895, bce2: 0.7181355, bce3: 0.7174105, hinge1: 2.0111985, hinge2: 1.9695845, hinge3: 2.1294595, cla: 2.1094545, lr: 0.0000008
iter: 131, bce1: 0.7306815, bce2: 0.7181985, bce3: 0.7176525, hinge1: 2.0128385, hinge2: 1.9745175, hinge3: 2.1338465, cla: 2.1053535, lr: 0.0000008
iter: 132, bce1: 0.7317665, bce2: 0.7183535, bce3: 0.7176395, hinge1: 2.0099745, hinge2: 1.9701895, hinge3: 2.1303415, cla: 2.1046345, lr: 0.0000008
iter: 133, bce1: 0.7316435, bce2: 0.7184195, bce3: 0.7177115, hinge1: 2.0125545, hinge2: 1.9739935, hinge3: 2.1263325, cla: 2.1059445, lr: 0.0000008
iter: 134, bce1: 0.7314345, bce2: 0.7184735, bce3: 0.7176445, hinge1: 2.0095575, hinge2: 1.9723915, hinge3: 2.1291555, cla: 2.1026405, lr: 0.0000008
iter: 135, bce1: 0.7312595, bce2: 0.7185205, bce3: 0.7176465, hinge1: 2.0087705, hinge2: 1.9718395, hinge3: 2.1298315, cla: 2.1025985, lr: 0.0000008
